index,question,label
1567,چه نوع کارتریج شروع به صدمه زدن به دندان اکسل؟,-1
1568,چند چیز دندان اکسل و کارتریج طاس شروع به صدمه دیده است؟,-1
1569,تجربه ای که کارتریج های اکسل ما را برای تعمیر می فرستند چه چیزی است؟,1
1570,بهترین کار برای جایگزینی قطعه شکسته اگر قطعه می توانست تعمیر شود چه کاری است؟,1
1571,قد دندانهای اکسل چقدر است؟,1
1572,چه اتفاقی می افتد که کارتریج اکسل با چرخاندن کارتریج اکسل حرکت می کند؟,1
1573,کارتریج های زاویه ای با محورها چه زاویه ای دارند؟,1
1574,چه نوع کارتریج شروع به صدمه زدن به دندان های اکسل می کند؟,1
1575,دندان های اکسل و کارتریج های طاس چند چیز شروع به صدمه دیدن می کنند؟,1
1576,تجربه ای که کارتریج های Axel ما را برای تعمیر می فرستند چیست؟,1
1577,در صورت ترمیم قطعه بهترین کار برای جایگزینی قطعه شکسته چیست؟,1
1578,چه مدلی در مورد تعداد دندان های تاج بیشتر از دندانپزشکان پایین اکسل صدق نمی کند؟,1
1579,هنگامی که اکسل در واقع چه؟,-1
1580,هنگامی که کارتریج فرشته با اکسل در چه زاویه ای هستند؟,1
1581,اکسل و دندان های کارتریج به تدریج باعث چه چیزی می شوند؟,1
1582,چند چیز اکسل و دندان کارتریج معمولا جایگزین می شود؟,1
1583,چه مدلی بیش از دندانپزشکان پایین آکسل در مورد تعداد دندانهای تاج اعمال نمی شود؟,1
1584,وقتی اکسل در واقع چیست؟,-1
1585,وقتی کارتریج های فرشته با برتری در چه زاویه ای قرار دارند؟,0
1586,دندانهای اکسل و کارتریج به تدریج چه چیزی ایجاد می کنند؟,1
1587,معمولاً چه تعداد از دندان های اکسل و کارتریج جایگزین می شوند؟,1
1588,چه نوع پروتزهای قابل جابجایی در پروتزهای ثابت و پروتزهای قابل جابجایی وجود دارند؟,1
1589,چند مرحله قالب سازی باید انجام دهیم؟,1
1590,چگونه می خواهیم رابطه بین دندان ها و ننگ نرم موقعیت دندان ها ثبت شود؟,1
1591,چه چیزی برای ما در مورد یک دندان به خصوص تراشیده شده مهم است؟,1
1592,چه تفاوت مهمی در پروتزهای ثابت وجود دارد؟,1
1593,با پروتزهای مبتنی بر ایمپلنت چه می توانیم بکنیم؟,1
1594,چه نوع پروتزهای قابل جابجایی در پروتزهای ثابت و پروتزهای قابل جابجایی وجود دارد؟,1
1595,چند مرحله از قالب گیری باید انجام دهیم؟,1
1596,چگونه می خواهیم رابطه بین دندان ها و ماساژ نرم موقعیت دندان ها ثبت شود؟,1
1597,چه چیزی برای ما در مورد یک دندان مخصوص تراشیده شده مهم است؟,1
1598,تفاوت مهمی در پروتزهای ثابت چیست؟,-1
1599,چه کاری می توانیم با پروتزهای مبتنی بر ایمپلنت انجام دهیم؟,1
1600,رویه کلی که در پروتزهای ثابت و پروتزهای متحرک یافت می شود چه است؟,1
1601,چند مرحله از کار قالب سازی لازم نیست انجام دهیم؟,1
1602,هدف از تعمير پروتز دندان چيه؟,1
1603,چه چیزی می خواهیم موقعیت سه بعدی اجزای داخل دهان را منتقل کنیم؟,-1
1604,رابطه دندان با دندان با بافت نرم استخوان دندان در سه بعد فضا چه می خواهیم؟,-1
1605,چه چیزی برای ما مهم است که جزئیات سطحی آن دندان خاص را داشته باشد؟,1
1606,چه تفاوت مهمی در قالب دهی وجود دارد؟,1
1607,روش کلی که در پروتزهای ثابت و پروتزهای متحرک یافت می شود چیست؟,1
1608,چند مرحله از کار قالب گیری نیازی به انجام آن نداریم؟,1
1609,هدف از رفع پروتز دندان چیست؟,1
1610,چه چیزی می خواهیم موقعیت سه بعدی اجزای داخل دهان را منتقل کنیم؟,-1
1611,چه چیزی می خواهیم رابطه دندان با یکدیگر با دندان با بافت نرم خمیر دندان در سه بعد فضا وجود داشته باشد؟,-1
1612,چه چیزی برای ما مهم است که جزئیات سطح آن دندان خاص را داشته باشیم؟,-1
1614,چگونه کتابی برای خواندن به شما داده شد؟,1
1615,آیا می روید کتابی را که تا به حال نخواند، بفهمید؟,-1
1616,برای درک یک کتاب چه کنیم؟,1
1617,چگونه این کار را در کتابی که تا به حال نخواده ایم انجام می دهید؟,0
1618,جواب کتابی که در ابتدا انجام نمی دهیم چه می شود؟,1
1619,برای درک یک کتاب چه کنیم؟,1
1620,برای درک یک کتاب چه خواهیم کرد؟,1
1621,چگونه کتابی برای خواندن به شما داده شد؟,1
1622,آیا می خواهید کتابی را که هرگز نخوانده اید درک کنید؟,1
1623,برای درک یک کتاب چه کاری انجام می دهیم؟,1
1624,چگونه این کار را در کتابی انجام می دهید که قبلاً هرگز نخوانده ایم؟,1
1625,پاسخی برای کتابی که در وهله اول انجام نمی دهیم چیست؟,1
1626,برای درک یک کتاب چه کاری انجام می دهیم؟,1
1627,ما برای درک یک کتاب چه خواهیم کرد؟,1
1628,آیا جزئیات بخش های مختلف آن را می شکنید تا کتابی را که هرگز نخواند برای درک آن کتاب بفهمید بفهمید؟,-1
1629,برای درک یک کتاب چه کنیم؟,1
1630,مدل درک صحیح برای یک کتاب چگونه است؟,1
1631,نویسنده در کتاب چه فصلی دارد؟,1
1632,نویسنده در کتاب چه فصلی دارد؟,1
1633,آیا جزئیات بخش های مختلف آن را برای درک کتابی که هرگز نخوانده اید برای درک آن کتاب می شکنید؟,1
1634,برای درک یک کتاب چه کاری انجام می دهیم؟,1
1635,مدل درک صحیح برای یک کتاب چیست؟,1
1636,نویسنده در کتاب چه فصلی دارد؟,1
1637,نویسنده در کتاب چه فصلی دارد؟,1
1638,چه چیزی در نسخه بسیار مهم است؟,1
1639,مهر دکتر چه جور اتفاقي داره ميفته؟,-1
1640,چیز دیگری که در کنار مهر دکتر بسیار بسیار مهم است چه چیزی است؟,1
