index,question,label
654,وزارت انرژی گفت که آنها قرار است هفته گذشته جلسه ای را برای خلاصه کردن دیدگاه هایی که شرکت ها ارسال کرده اند ، برگزار کنند؟,-1
655,چگونه می توانیم مقررات جدید را ارتباط برقرار کنیم؟,-1
656,مکمل توسط قانون آخرین نسخه مربوط به چه سالی بود؟,-1
657,تعرفه های تکمیلی برای اجرای چه هستند؟,1
658,هدف از نسخه جدید کد تکمیلی تعرفه های الکتریکی چه بوده است؟,1
659,اگر اشکالاتی برای انعکاس به وزارت انرژی وجود داشته باشد، در واقع چه چیزی ابلاغ می شود؟,1
660,در کد جدید تعرفه های الکتریکی باید چه چیزهایی را اصلاح کنیم؟,1
661,مکمل توسط آخرین نسخه مربوط به چه سالی است؟,-1
662,تعرفه های تکمیلی برای اجرای آن چیست؟,1
663,هدف از نسخه جدید کد تکمیلی تعرفه های الکتریکی چیست؟,1
664,اگر اشکالاتی برای تأمل به وزارت انرژی وجود داشته باشد ، در واقع چه ابلاغ شده است؟,-1
665,مواردی که ما برای اصلاح در کد جدید تعرفه های الکتریکی نیاز داریم؟,1
666,یکی از شرایطی که قرار است انتخاب کنیم چگونه است؟,1
667,بخش الیگو با چه نرم افزاری نیاز به تجزیه و تحلیل دارد؟,1
668,از کجا می دانید اکنون چه قطعاتی را می خواهید طراحی کنید، چه قطعاتی را باید در نظر بگیرید؟,-1
669,در واقع پريمر من کي منزوي ميشه؟,1
670,من توي ام آر آي چي گرفتم؟,1
671,ميخواي براي دي ان اي ژنومي چيکار کني؟,1
672,یکی از شرایطی که می خواهیم انتخاب کنیم چیست؟,1
673,قسمت الیگو باید با چه نرم افزاری تجزیه و تحلیل شود؟,1
674,چگونه می دانید اکنون چه قسمت هایی را می خواهید طراحی کنید ، چه قسمت هایی را باید در نظر بگیرید؟,1
675,چه زمانی آغازگر من در واقع از بین می رود؟,1
676,من در MRI خود چه کردم؟,1
677,می خواهید برای DNA ژنومی چه کاری انجام دهید؟,1
678,چي ميخوايم برداريم؟,1
679,چه چیزی باید دوباره با نرم افزار ژن Runner Oligo تجزیه و تحلیل شود؟,1
680,اسم نرم افزاري که بايد دوباره تحليل بشه چيه؟,1
681,رئيس اجرايي ريچک بعد از اينکه هارپين رو داره چي بود؟,-1
682,هر یک از مراحل به انتهای ژنومیک DNA چه خواهد رفت؟,-1
683,پريمر من کي توي منطقه 901 فرار ميکنه؟,1
684,در مورد ژنومي دي ان اي چي ميخواي بدوني؟,1
685,چه چیزی می خواهیم انتخاب کنیم؟,1
686,چه چیزی باید دوباره با نرم افزار دونده الیگو ژن دونده مورد تجزیه و تحلیل قرار گیرد؟,1
687,نام نرم افزاری که باید دوباره مورد تجزیه و تحلیل قرار گیرد چیست؟,1
688,رئیس اجرایی ریچ بعد از هارپین چه بود؟,-1
689,هر یک از مراحل به انتهای ژنومی DNA چه خواهد رسید؟,-1
690,آغازگر من در منطقه 901 چه زمانی اجرا می شود؟,1
691,چه چیزی باید در مورد ژنومی DNA بدانید؟,1
692,چند تا اينتر ميذارم بازي کني؟,-1
693,در چه نقطه ای از پری ویو به من یک کلیک داد؟,1
694,وان من به چه چیزی تقسیم شده است؟,1
695,و تلفنم چقدر لبه داره؟,1
696,وان هایم از پایین چند امتیاز می شمارند؟,1
697,تنظیمات دقت این تقسیم بندی چه می باشد؟,1
698,این یک سوم وانم را چند امتیاز گذاشتیم؟,1
699,به شما اجازه می دهم چند نفر را بازی کنم؟,-1
700,در کدام نقطه از Fairyview او به من کلیک کرد؟,-1
701,واج من به چه چیزی تقسیم شده است؟,1
702,واج من چه مقدار از لبه من دارد؟,1
703,واج من چند امتیاز از پایین حساب می کند؟,1
704,تنظیمات دقت این بخش چیست؟,1
705,چند امتیاز این یک سوم واج من را قرار دادیم؟,-1
706,چند بار دوباره شيفت رو نگه دارم؟,1
707,دوباره چي رو نگه دارم؟,1
708,چه نقطه رنگی اومدم وسط اون بهم یه کلیک داد بذار شماره نقطه ام رو نبينم؟,-1
709,چه تفاوتی بین اجاجه من و اجاجه ام وجود دارد؟,0
710,چند بار از ته اجمه ام؟,0
711,دقت بخش بندی چه چیزی است؟,1
712,چند بار می خواهیم این یک سوم را قرار دهیم؟,1
713,چند بار تغییر را دوباره نگه می دارم؟,1
714,دوباره چه چیزی را نگه دارم؟,1
715,من در وسط آن قرار گرفتم که در وسط آن قرار گرفتم ، به من اجازه داد که شماره نقطه خود را نبینم؟,-1
716,تفاوت بین ejja و ejja من چیست؟,1
717,چند بار از پایین ejja من؟,-1
718,صحت تقسیم بندی چیست؟,1
719,چند بار می خواهیم این یک سوم را قرار دهیم؟,1
720,چه اتفاقی برای بیمارانی می افتد که مقدار کمی آب وارد ریه ها می شوند؟,-1
721,چه اتفاقی برای اولین مقدار آب ورود به ریه ها می افتد؟,-1
722,چه کسی بیماران را با خفه شدن در آب خفه می کند؟,-1
723,چه چیزی بازگشت این اسپاسم را دشوارتر می کند؟,1
724,در بیمارانی که در آب خفه شده اند چه می توانیم بکنیم؟,1
725,چه نوع افرادی وارد راه هوایی می شوند؟,1
726,بیشتر کودکان از کجا جسدی در دهان شان می گیرد؟,-1
727,چه اتفاقی می افتد برای بیمارانی که مقدار کمی آب به داخل ریه ها می گیرند؟,1
728,چه اتفاقی برای اولین مقدار آب ورود به ریه ها می افتد؟,-1
729,چه کسی بیماران را با خفگی در آب خفه می کند؟,-1
730,چه چیزی بازگرداندن این اسپاسم را دشوارتر می کند؟,1
731,در بیماران مبتلا به خفگی در آب چه کاری می توانیم انجام دهیم؟,1
732,چه نوع افرادی وارد مجاری هوایی می شوند؟,1
733,کجا بیشتر کودکان بدن را در دهان خود می گیرند؟,1
734,بیمارانی که در آب خفه می شوند معمولاً وارد چه می شوند؟,1
735,چه چیزی باعث بسته شدن راه هوایی می شود و اجازه ورود آب بیشتر به ریه ها را نمی دهد؟,1
736,چه چیزی باعث خفه شدن بیماران می شود؟,1
737,اگر مراقبت ما خیلی زود و زود باشد چگونه می توانیم بیماران را بهتر کنیم؟,1
738,چه نوع بدن وارد راه هوایی می شود؟,1
739,کودکان در دهان شان در راه های هوایی خود از کجا نفس می کشند؟,1
740,بیمارانی که در آب خفه می شوند معمولاً وارد می شوند؟,1
741,چه عواملی باعث بسته شدن راه هوایی می شوند و اجازه نمی دهند آب بیشتری وارد ریه ها شود؟,1
742,چه عواملی باعث خفه شدن بیماران می شود؟,1
743,اگر مراقبت ما خیلی زود و زود باشد ، چگونه می توانیم بیماران را بهتر کنیم؟,1
744,چه نوع بدنه ای وارد مجاری هوایی می شود؟,1
745,کودکان در دهانشان کجا در راه هوایی نفس می کشند؟,1
746,هدف از تزريق تامي براي متوقف کردن خونريزي چيه؟,1
747,چرا اپی نفرین منقبض می شود؟,1
748,اپی نفرین در محلول تامی مون چیست؟,1
749,اپی نفرین در محلول تامی مون چیست؟,1
750,اپی نفرین در محلول تامی مون چیست؟,1
751,اپی نفرین در لیدلو در این مرحله چه چیزی است؟,1
752,چه چیزی برای افزایش زمان بقای لیدوکائین استفاده می شود؟,1
753,هدف از تزریق تامی برای متوقف کردن خونریزی چیست؟,1
754,چرا اپی نفرین قرارداد دارد؟,1
755,اپی نفرین در راه حل تامی مون چیست؟,1
756,اپی نفرین در راه حل تامی مون چیست؟,1
757,اپی نفرین در راه حل تامی مون چیست؟,1
758,اپی نفرین در لیدو در این مرحله چیست؟,1
759,چه چیزی برای افزایش زمان بقای لیدوکائین استفاده می شود؟,1
760,تامي براي جلوگيري از خونريزي چي تزريق ميکنه؟,1
761,چه اتفاقی برای اپی نفرین در محلول تامی می افتد؟,1
762,اپی نفرین در محلول تامی چیست؟,1
763,تامی مون در چه راه حلی از اپی نفرین استفاده می کند؟,1
764,چه کسی از اپی نفرین در محلول تامی مون تو استفاده می کند؟,1
765,اپی نفرین در محلول لیدوکائین چیست؟,1
766,اپی نفرین کجا استفاده می شود؟,1
767,اپی نفرین ماندگاری لیدوکائین را از کجا بالاتر می برد؟,1
768,تامی برای جلوگیری از خونریزی چه تزریق می کند؟,1
769,چه اتفاقی برای اپی نفرین در راه حل تامی می افتد؟,1
770,اپی نفرین در راه حل تامی چیست؟,1
771,تامی مون در چه راه حلی از اپی نفرین استفاده می کند؟,1
772,چه کسی از اپی نفرین در راه حل Tommy Mon -Tu استفاده می کند؟,1
773,اپی نفرین در محلول لیدوکائین چیست؟,1
774,از اپی نفرین از کجا استفاده می شود؟,-1
775,اپی نفرین ماندگاری لیدوکائین را از کجا بالاتر می برد؟,1
776,به طور خلاصه در مورد چه نوع استعمار صحبت کردیم؟,1
777,استعمار بحرانی چه چیزی است؟,1
778,در استعمار بحرانی چه نوع استعمار طبیعی است؟,1
779,افلاطون در چه چیزی متوقف می شود؟,1
780,رنگ بافت گرانوله شده چيه؟,1
781,یکی از علائم cluncing چه است؟,1
782,به طور خلاصه در مورد چه نوع استعمار صحبت کردیم؟,1
783,استعمار مهم چیست؟,1
784,در استعمار بحرانی چه نوع استعمار طبیعی است؟,1
785,توقف افلاطون چیست؟,1
786,رنگ بافت گرانول چیست؟,1
787,یکی از علائم Cluncing چیست؟,1
788,استعمار کلونیک چیه؟,1
789,منتقد کلونینگ چیه؟,-1
790,نشانه های کلونینگ منتقد چه هستند؟,1
791,چه رنگی دانه ای است که اکنون یک تی گرانولاسیون یا سنجاقک است؟,-1
792,دانه ای که اکنون از نظر کیفیت از نظر کیفیت کمرنگ است، چه چیزی است؟,-1
793,استعمار کلونیس چیست؟,1
794,کلونینگ منتقد چیست؟,1
795,علائم کلونینگ منتقد چیست؟,1
796,چه رنگی دانه ای است که اکنون یک دانه یا پین است؟,-1
797,یک گرانول که اکنون از نظر کیفیت از نظر کیفیت کم رنگ است؟,-1
798,بیشتر کیت های جراحی از چه نوع مته هایی شروع می کنند؟,1
799,اندازه مته هایی که قرار است حفره مان را طراحی کنیم چه اندازه ای است؟,1
800,اندازه مته های ما چند است؟,1
801,سیستم در مورد ارتفاع مته ها چه می گوید؟,1
802,برای ارتفاع مته ها چه باید بکنید؟,1
803,خط دوم کیت جراحی چیه؟,1
804,بیشتر کیت های جراحی از چه نوع دریل ها شروع می شوند؟,1
805,اندازه تمریناتی که می خواهیم حفره خود را طراحی کنیم چیست؟,1
806,اندازه دریل های ما چقدر است؟,1
807,سیستم در مورد ارتفاع مته ها چه می گوید؟,1
808,برای ارتفاع مته ها چه کاری باید انجام دهید؟,1
809,خط دوم کیت جراحی چیست؟,1
810,بیشتر کیت های جراحی با چه چیزی شروع می شوند؟,1
811,چه نامی از سیستم است که تنها یک مته برای هر قطر است؟,1
812,برای ارتفاع مته ها چه باید بکنید؟,1
813,اولین خط کیت جراحی که کنترل ارتفاع بهتری دارد چه چیزی است؟,1
814,بیشتر کیت های جراحی با چه چیزی شروع می شوند؟,1
815,نام سیستمی که فقط مته برای هر قطر است چیست؟,1
816,برای ارتفاع مته ها چه کاری باید انجام دهید؟,1
817,خط اول کیت جراحی که کنترل ارتفاع بهتری دارد چیست؟,1
818,در این بخش چه می بینید؟,1
819,اسم فیچری که طراحی کردیم چیه؟,1
820,چه چیزی لازم است توضیح مختصری در مورد تنظیمات موتور ایمپلنت به شما ارائه دهید؟,-1
821,ایمپلنت زاویه مخصوص چه چیزی است؟,1
822,در این بخش چه می بینید؟,1
823,نام فیکسچینی که ما طراحی کردیم چیست؟,1
824,چه چیزی لازم است برای شما توضیح مختصری در مورد تنظیمات موتور ایمپلنت ارائه دهید؟,-1
825,کاشت زاویه خاص چیست؟,1
826,چه نوع مته هایی را اینجا می بینید؟,1
827,ایمپلنت فرشته 20 به 1 چیه؟,1
828,در اینجا چه نوع تمرین می بینید؟,1
829,کاشت فرشته 20 به 1 چیست؟,1
830,وقتي ميگيم منظورمون چيه؟,1
831,منظور ما از چه زمانی است که ما می گویند EPIMS از یک برنامه OpenSource؟,-1
832,چه معنی است که شما می توانید آنها را ویرایش آن را ببینید توسعه آن چه گزینه ای به شما می دهد در حال حاضر?,-1
833,چه چیزی می توانید به EPIMS از یک برنامه OpenSource اضافه کنید؟,1
834,منبع باز بودن به چه معناست؟,1
835,هدف از فضایی که باید یک وب سایت ایجاد کنیم چیه؟,1
836,اسم ايالتي که نميتونيم بذاريمش روي مردم محلي مون چيه؟,1
837,منظور ما وقتی می گوییم چیست؟,-1
838,منظور ما وقتی می گوییم EPIMS از یک برنامه OpenSource چیست؟,1
839,چه بدان معنی است که می توانید آنها را ویرایش کنید ، آن را توسعه دهید ، اکنون چه گزینه ای به شما می دهد؟,1
840,چه چیزی می توانید به یک برنامه OpenSource اضافه کنید؟,1
841,منبع باز بودن به چه معنی است؟,1
842,هدف از فضایی که برای ایجاد یک وب سایت نیاز داریم چیست؟,1
843,نام دولت در جایی که نمی توانیم آن را بر روی افراد محلی خود قرار دهیم چیست؟,1
844,منظور ما از این است که وقتی یک IPS یک سیستم مدیریت محتوا می گوییم چیست؟,-1
845,چه چیزی می توانید ویژگی های خاص را به IPS یک سیستم مدیریت محتوا اضافه کنید؟,-1
846,برای بهبود مشکلات جستجوگرهای خود چه کاری می توانید انجام دهید؟,1
847,اوپن سورس به چه معناست که به کدهای نوشته شده دسترسی داشته باشد؟,1
848,منبع باز بودن به چه معناست؟,1
849,چه حالتی است که ما نمی توانیم در مردم محلی خودمان و قرار دادن وب سایت ما را به نصب بر روی مردم محلی؟,-1
850,منظور ما وقتی می گوییم IPS A CMS چیست؟,1
851,چه چیزی می توانید ویژگی های خاص را به IPS A CMS اضافه کنید؟,-1
852,برای بهبود مشکلات سئو چه کاری می توانید انجام دهید؟,1
853,منبع باز به معنای دسترسی به کدهای مکتوب چیست؟,1
854,منبع باز بودن به چه معنی است؟,1
855,چه روشی است که ما نمی توانیم خودمان در افراد محلی باشیم و وب سایت خود را برای نصب بر روی افراد محلی قرار دهیم؟,1
856,چه اتفاقی برای ساختار ICM و sedimentation می افتد؟,1
857,کلاژني که اينجا توليد ميشه چيه؟,1
858,چه چیزی کمی متفاوت از کلاژن است که به طور طبیعی در ساختار بافت خود را قبل از آن زخم می شود؟,-1
859,کلاژني که اينجا ساخته ميشه چه نوع کلاژنيه؟,1
860,چه نوع کلاژن است که در اینجا ساخته شده است؟,1
861,چه مقدار از کلاژن نوع سوم خود را برای همیشه از دست می دهد زمانی که آن را تولید می شود؟,-1
862,چند الاستین کلاژن نوع سوم وقتی تولید می شود از دست می دهد؟,1
863,چه اتفاقی برای ساختار ICM و رسوب می افتد؟,1
864,کلاژن که در اینجا تولید می شود چیست؟,1
865,کمی متفاوت از کلاژن که به طور طبیعی در ساختار بافت شما قبل از زخم شدن وجود دارد چیست؟,1
866,کلاژن کدام نوع کلاژن است که در اینجا ساخته می شود؟,1
867,نوع کلاژن که در اینجا ساخته می شود چیست؟,1
868,چه مقدار از کلاژن نوع سوم شما هنگام تولید برای همیشه از دست می رود؟,1
869,کلاژن نوع 3 چند الاستین هنگام تولید از دست می دهد؟,1
870,کلاژنی که اینجا تولید می شود از چه چیزی است؟,1
871,چه چیزی در اینجا با کلاژن است که به طور طبیعی در ساختار بافت خود را قبل از آن تبدیل به زخم ساخته شده است؟,-1
872,چه تفاوتی بین کلاژن نوع 3 3 از دست دادن 20 ٪ الاستین خود را برای همیشه لطفا برای زمانی که آن را تولید می شود؟,-1
873,چند الاستین تفاوت بین کلاژن نوع ۳ ۳ را از دست می دهد؟,0
874,کلاژن که از اینجا تولید می شود چیست؟,1
875,چه چیزی در اینجا با کلاژن ساخته شده است که به طور طبیعی در ساختار بافت شما قبل از زخم شدن وجود دارد؟,1
876,تفاوت بین کلاژن نوع 3 از دست دادن 20 ٪ الاستین خود برای همیشه هنگام تولید چیست؟,1
877,تفاوت بین کلاژن 3 نوع 3 از بین می رود؟,0
878,نام خدا کیست؟,-1
879,قرار است در مورد چه نوع گزینه هایی با یکدیگر صحبت کنیم؟,1
880,اولين چيزي که بايد با هم شروع کنيم چيه؟,1
881,یک سیستم سازنده سایت به چه معناست؟,1
882,فروشگاهی که می توانید با آن راه اندازی کنید چه چیزی است؟,1
883,اگر می خواهید بگویید یک وب سایت یک سیستم مدیریت محتوا است چه کاری می توانید انجام دهید؟,1
884,وردپرس چه نوع سیستمی دارد؟,1
885,اسم خدا کیست؟,-1
886,در مورد چه نوع گزینه هایی می خواهیم با یکدیگر صحبت کنیم؟,1
887,اولین چیزی که باید با یکدیگر شروع کنیم چیست؟,1
888,سیستم سازنده سایت به چه معنی است؟,1
889,فروشگاهی که می توانید با آن تنظیم کنید چیست؟,1
890,اگر می خواهید بگویید یک وب سایت یک سیستم مدیریت محتوا است ، چه کاری می توانید انجام دهید؟,1
891,وردپرس چه نوع سیستم دارد؟,-1
892,چه کسی قرار است در یک دوره کوتاه آشنایی با وردپرس با یکدیگر صحبت کند؟,-1
893,اگر بخواهم به زبان ساده بگویم وردپرس چه معنایی دارد؟,1
894,یک مدل وب سایت است که شما می توانید با آن راه اندازی است که برای در دسترس است؟,-1
895,وردپرس یک زبان حرفه ای است؟,1
896,چه کسی قرار است در یک دوره کوتاه از آشنایی با وردپرس با یکدیگر صحبت کند؟,-1
897,اگر بخواهم به یک زبان ساده بگویم وردپرس به چه معنی است؟,1
898,یک مدل وب سایت که می توانید با آن تنظیم کنید که در دسترس است؟,1
899,وردپرس یک زبان حرفه ای چیست؟,-1
900,چند تا نفس عميق بايد بکشي؟,1
901,چه می گویید در همان نفس نفس می کشید؟,1
902,ميخواي چي بگي؟,1
903,چه چیزی می شود که چگونه آگاهانه شما می توانید پس از بسیاری از تنفس سخت تنفس?,-1
904,برای دریافت سوخت به بدن تان به چه نوع انرژی نیاز دارید؟,1
905,وقتي عقلت جواب ميده، شما ها بايد چي بخوريد؟,-1
906,چه چیزی اغلب در یک دوره تصمیم گیری برگزار می شود؟,1
907,چند نفس عمیق نیاز دارید؟,1
908,چه می گویید با همان نفس نفس می کشید؟,1
909,چه می خواهی بگویی؟,1
910,چه چیزی می تواند بعد از تنفس سخت چقدر آگاه باشید؟,-1
911,برای دریافت سوخت به بدن خود به چه نوع انرژی نیاز دارید؟,1
912,وقتی عقل شما کار می کند ، شما بچه ها باید چه چیزی را بخورید؟,1
913,چه چیزی اغلب در دوره تصمیم گیری برگزار می شود؟,1
914,لولا آخرتانی الاجار پرسید که اگر دست از کار نیسید چه کار کند؟,0
915,ولن يوخير الله نفسا ازا جاجالس چي ميفهمه؟,0
916,قرآن کیست؟,-1
917,لولا آخرتانی الجال از چه کاری درخواست کرد اگر تسلیم نشوید؟,0
918,وولن یوخر الله نفسا آزا جاجالس چه چیزی را درک می کند؟,0
919,قرآن کیست؟,-1
920,آخر آیه چه گفت که اگر وقت نگذرید در زمان مرگ گیر می کنید، آن وقت درخواست می کنید که شما,1
921,چه کسی در آیه یازده تکرار می شود؟,1
922,لولا اخراجی الاجل چه زمانی تکرار می شود؟,1
923,پایان آیه چه کرد که می گوید اگر در زمان مرگ گیر نمی کنید ، پس از آن درخواست می کنید,1
924,چه کسی در یازده آیه تکرار می شود؟,1
925,چه موقع لولا آزراتی ال Ajl Al -ajl al -ajl al -ajl تکرار می شود؟,0
926,تاریخ دستگاه ما چیه؟,1
927,چه توانایی برای تنظیم مجدد به تعداد مشخصی از دستگاه های خود است؟,1
928,چند تزریق برخی از دستگاه ها در داخل خود می دهند؟,1
930,چیز بعدی در مورد برق دستگاه ما چیه؟,1
931,فرکانس کاری دستگاه ما چه می باشد؟,1
932,فرکانس برق ایران در چه کشوری با فرکانس برق اروپا متفاوت است؟,1
933,تاریخچه دستگاه ما چیست؟,1
934,امکان تنظیم مجدد به تعداد مشخصی از دستگاه ها چیست؟,1
935,برخی از دستگاه ها در داخل خود چه تعداد تزریق می کنند؟,1
937,نکته بعدی در مورد برق دستگاه ما چیست؟,1
938,فرکانس کار دستگاه ما چیست؟,1
939,در کدام کشور فرکانس برق ایران با فرکانس برق اروپا متفاوت است؟,1
940,چند صومعه در ایران وجود دارد؟,1
941,چه اتفاقی برای برخی از دستگاه ها می افتد؟,1
942,چند دستگاه برای پاک کردن هیستری آنها استفاده می شود؟,-1
943,مورد بعدی که به ما توضیح کلی می دهد که آلارم های بعدی را از هم جدا خواهیم کرد و جداگانه در مورد آن صحبت خواهیم کرد؟,1
944,چیز بعدی در مورد برق دستگاه ما چیه؟,1
945,فرکانس برق ایران چیه؟,1
946,چه تعداد صومعه در ایران وجود دارد؟,1
947,چه اتفاقی برای برخی از دستگاه ها می افتد؟,1
948,چند دستگاه برای پاک کردن هیستری خود استفاده می شود؟,-1
949,مورد بعدی که توضیح کلی به ما می دهد که هشدارهای بعدی را از هم جدا می کنیم و به طور جداگانه در مورد آن صحبت خواهیم کرد چیست؟,1
950,نکته بعدی در مورد برق دستگاه ما چیست؟,1
951,فرکانس برق ایران چیست؟,1
952,در هر جلسه چه نوع تزریقی آنتی بیوتیک ها را تزریق خواهید کرد؟,1
953,بيمار فرض ميکنه داره چي مصرف ميکنه؟,1
954,شغل بيمار چيه که داشته باشه؟,1
955,چرا آنتی بیوتیک ها به شما حساسیت دارند؟,1
956,نام استخوان در بستر زخم درم هیپودرم چیه؟,1
957,چه نوع زخم می تواند باعث استئومریت یا عفونت استخوانی شود؟,1
958,چه نوع عفونتی باید خیلی دقیق انجام دهیم؟,1
959,در هر جلسه چه نوع تزریقی آنتی بیوتیک ها را تزریق خواهید کرد؟,1
960,بیمار فرض می کند که او مصرف می کند؟,1
961,وظیفه بیمار چیست؟,1
962,چرا آنتی بیوتیک ها به شما حساسیت دارند؟,1
963,نام استخوان در بستر زخم Hypodermis Dermis چیست؟,1
964,چه نوع زخم می تواند باعث پوکی استخوان یا عفونت استخوان شود؟,1
965,چه نوع عفونت را باید انجام دهیم؟,1
966,برای هدایت آنتی بیوتیک های سیستمیک به بیمار چه کنیم؟,1
967,بیشتر اوقات بیمار فرض می کند که مصرف می کند چه می کند؟,1
968,وظیفه بیمار در داشتن و اشاره به اهمیت آنتی بیوتیک است؟,1
969,چرا آنتی بیوتیک ها به شما حساسیت دارند؟,1
970,زخم اپیدرم در چه چیزی است؟,1
971,زخم حفره بسیار سنگین چه چیزی می تواند توسعه یابد؟,1
972,چه نوع عفونتی باید با آن مقابله کنیم؟,1
973,برای هدایت آنتی بیوتیک های سیستمیک به بیمار چه می کنیم؟,1
974,بیشتر اوقات بیمار فرض می کند که او مصرف می کند؟,1
975,وظیفه بیمار برای داشتن و اشاره به اهمیت آنتی بیوتیک چیست؟,1
976,چرا آنتی بیوتیک ها به شما حساسیت دارند؟,1
977,زخم اپیدرم در چیست؟,1
978,زخم حفره ای بسیار سنگین چه می تواند ایجاد شود؟,1
979,برای مقابله با چه نوع عفونت؟,1
980,یکی از تفاوت های وردپرس با بقیه رقبای آن چه بوده است؟,1
981,در چه صفحاتی به وردپرس اشاره شده است؟,1
982,چه اندازه از وب سایت های ایرانی با وردپرس طراحی شده اند؟,1
983,چه چیزی شما را به خرید پلاگین، خرید تم، خرید هر چیزی که شما خرید؟,-1
984,چه اصطلاحی برای یک وب سایت است که شما می توانید استفاده کنید برای خرید پلاگین، خرید تم، خرید هر چیزی که شما خرید؟,1
985,تا چه زمانی به بلیط پشتیبانی که ارسال می کنید پاسخ داده خواهد شد؟,1
986,یکی از تفاوت های وردپرس و بقیه رقبای آن چیست؟,1
987,در کدام صفحات به وردپرس اشاره شده است؟,1
988,چه مقدار از وب سایت های ایرانی با وردپرس طراحی شده اند؟,1
989,چه چیزی شما را برای خرید افزونه ها ، خرید مضامین ، خرید هر چیزی که خریداری می کنید ، به ارمغان می آورد؟,1
991,چه مدت بلیط پشتیبانی ارسال می شود؟,1
992,یکی از تفاوت های وردپرس با بقیه رقبای او چیه؟,1
993,کدام کشور دومین کشوری است که از وردپرس برای طراحی وب سایت های خود استفاده می کند؟,1
994,اصطلاحی که در وب سایت های ایرانی به کار می رود، چه واژه ای است؟,1
995,تا چه زمانی به بلیط پشتیبانی که ارسال می کنید پاسخ داده خواهد شد؟,1
996,یکی از تفاوت های وردپرس و بقیه رقبای وی چیست؟,1
997,کدام کشور دومین کشور است که از وردپرس برای طراحی وب سایت های خود استفاده می کند؟,1
998,اصطلاحی که در وب سایت های ایرانی استفاده می شود چیست؟,1
999,چه مدت بلیط پشتیبانی ارسال می شود؟,1
1000,دو مدلی که پتاسیم و سدیم را اندازه گیری می کنند چه هستند؟,1
